Route,Departing_Port,Arriving_Port,Airline,Month,Sectors_Scheduled,Sectors_Flown,Cancellations,Departures_On_Time,Arrivals_On_Time,Departures_Delayed,Arrivals_Delayed,Year,Month_Num
Brisbane-Mackay,Brisbane,Mackay,All Airlines,Feb-10,261,258,3,221,223,37,35,2010,2
Brisbane-Melbourne,Brisbane,Melbourne,All Airlines,Feb-10,676,671,5,592,613,79,58,2010,2
Brisbane-Newcastle,Brisbane,Newcastle,All Airlines,Feb-10,201,201,0,178,170,23,31,2010,2
Brisbane-Perth,Brisbane,Perth,All Airlines,Feb-10,168,168,0,140,157,28,11,2010,2
Brisbane-Proserpine,Brisbane,Proserpine,All Airlines,Feb-10,55,55,0,48,46,7,9,2010,2
Brisbane-Rockhampton,Brisbane,Rockhampton,All Airlines,Feb-10,326,324,2,278,272,46,52,2010,2
Brisbane-Sydney,Brisbane,Sydney,All Airlines,Feb-10,1125,1102,23,893,897,209,205,2010,2
Brisbane-Townsville,Brisbane,Townsville,All Airlines,Feb-10,290,289,1,261,268,28,21,2010,2
Broome-Perth,Broome,Perth,All Airlines,Feb-10,125,123,2,102,104,21,19,2010,2
Cairns-Brisbane,Cairns,Brisbane,All Airlines,Feb-10,304,304,0,290,284,14,20,2010,2
Cairns-Melbourne,Cairns,Melbourne,All Airlines,Feb-10,83,83,0,75,75,8,8,2010,2
Cairns-Sydney,Cairns,Sydney,All Airlines,Feb-10,190,189,1,170,164,19,25,2010,2
Cairns-Townsville,Cairns,Townsville,All Airlines,Feb-10,192,187,5,162,147,25,40,2010,2
Canberra-Adelaide,Canberra,Adelaide,All Airlines,Feb-10,76,76,0,68,70,8,6,2010,2
Canberra-Brisbane,Canberra,Brisbane,All Airlines,Feb-10,252,250,2,235,234,15,16,2010,2
Canberra-Melbourne,Canberra,Melbourne,All Airlines,Feb-10,466,460,6,408,403,52,57,2010,2
Canberra-Sydney,Canberra,Sydney,All Airlines,Feb-10,720,712,8,640,601,72,111,2010,2
Coffs Harbour-Sydney,Coffs Harbour,Sydney,All Airlines,Feb-10,178,177,1,143,144,34,33,2010,2
Darwin-Brisbane,Darwin,Brisbane,All Airlines,Feb-10,56,56,0,48,45,8,11,2010,2
Darwin-Melbourne,Darwin,Melbourne,All Airlines,Feb-10,35,35,0,28,26,7,9,2010,2
Darwin-Perth,Darwin,Perth,All Airlines,Feb-10,56,55,1,54,49,1,6,2010,2
Dubbo-Sydney,Dubbo,Sydney,All Airlines,Feb-10,211,211,0,161,154,50,57,2010,2
