,Year,Flights Flown,Month,Price,KM
257,2023,132,4,396.7949065,972
258,2010,80,8,359.5357513,972
259,2011,81,8,462.5951904,972
260,2012,75,8,522.2200393,972
261,2013,94,8,489.65,972
262,2014,90,8,352.3796992,972
263,2015,73,8,584.212037,972
264,2016,77,8,588.2449726,972
265,2017,77,8,600.2890485,972
266,2018,78,8,563.1252335,972
267,2019,79,8,569.8076083,972
268,2021,26,8,430.113609,972
269,2022,87,8,555.6775701,972
270,2023,130,8,625.5691057,972
271,2010,75,12,560.1775026,972
272,2011,73,12,658.8476954,972
273,2012,86,12,678.9264706,972
274,2013,89,12,676.8062977,972
275,2014,84,12,564.3245779,972
276,2015,73,12,591.0904059,972
277,2016,69,12,702.0436364,972
278,2017,65,12,648.956289,972
279,2018,66,12,701.3391762,972
280,2019,67,12,654.9535284,972
281,2020,49,12,646.9778157,972
282,2021,55,12,454.4270322,972
283,2022,102,12,693.0825688,972
284,2023,95,12,937.4636297,972
285,2010,72,2,402.6533613,972
286,2011,71,2,401.3407935,972
287,2012,75,2,473.3353353,972
288,2013,87,2,478.1738281,972
289,2014,83,2,536.2390892,972
290,2015,84,2,537.0692884,972
291,2016,71,2,514.6044362,972
292,2017,68,2,582.3891403,972
293,2018,68,2,607.5586146,972
294,2019,68,2,495.3759684,972
295,2020,69,2,625.1106346,972
296,2021,45,2,465.1467345,972
297,2022,61,2,485.5173608,972
298,2023,115,2,641.4826471,972
299,2010,69,1,379.1407563,972
300,2011,63,1,362.9145473,972
301,2012,61,1,481.7377377,972
302,2013,75,1,435.8212891,972
303,2014,76,1,536.2390892,972
304,2015,70,1,537.0692884,972
305,2016,61,1,475.8151571,972
306,2017,60,1,582.3891403,972
307,2018,59,1,601.3463588,972
308,2019,62,1,576.2997195,972
309,2020,60,1,609.5248628,972
310,2021,59,1,514.0227396,972
311,2022,52,1,433.5996691,972
312,2023,76,1,588.719457,972
313,2024,76,1,553.2825929,972
314,2010,79,7,374.0331606,972
315,2011,78,7,473.8096192,972
316,2012,76,7,398.5363458,972
317,2013,91,7,408.9384615,972
318,2014,90,7,418.1221805,972
319,2015,77,7,584.212037,972
320,2016,68,7,588.2449726,972
321,2017,73,7,557.5906643,972
322,2018,68,7,475.7832599,972
